"","id","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score_cpt","t_score"
"1",305,"Rashford","Marcus","Man Utd","Forward",7.2,2.8,"3.60","2.57"
"2",59,"Groß","Pascal","Brighton","Midfielder",5.6,2.2,"2.80","2.55"
"3",432,"Jota","Diogo","Wolves","Midfielder",6.2,2.6,"3.10","2.38"
"4",475,"Santos Moutinho","João Filipe Iria","Wolves","Midfielder",6.2,2.6,"3.10","2.38"
"5",282,"De Gea","David","Man Utd","Goalkeeper",6.6,2.8,"3.30","2.36"
"6",367,"Son","Heung-Min","Spurs","Midfielder",7,3,"2.33","2.33"
"7",253,"Salah","Mohamed","Liverpool","Midfielder",6.4,2.8,"3.20","2.29"
"8",292,"Lindelöf","Victor","Man Utd","Defender",6.4,2.8,"3.20","2.29"
"9",437,"Jiménez","Raúl","Wolves","Forward",5.8,2.6,"2.90","2.23"
"10",579,"Higuaín","Gonzalo","Chelsea","Forward",7.5,3.4,"1.50","2.21"
"11",302,"Pogba","Paul","Man Utd","Midfielder",6,2.8,"3.00","2.14"
"12",338,"Ward-Prowse","James","Southampton","Midfielder",6.8,3.2,"3.40","2.12"
"13",251,"Mané","Sadio","Liverpool","Midfielder",5.8,2.8,"2.90","2.07"
"14",280,"Agüero","Sergio","Man City","Forward",6.8,3.4,"1.70","2.00"
"15",482,"Schär","Fabian","Newcastle","Defender",5,2.6,"1.67","1.92"
"16",268,"Laporte","Aymeric","Man City","Defender",6.4,3.4,"1.60","1.88"
"17",23,"Aubameyang","Pierre-Emerick","Arsenal","Forward",5.4,3,"2.70","1.80"
"18",150,"Milivojevic","Luka","Crystal Palace","Midfielder",5,2.8,"1.67","1.79"
"19",3,"Koscielny","Laurent","Arsenal","Defender",5.2,3,"2.60","1.73"
"20",62,"Murray","Glenn","Brighton","Forward",3.8,2.2,"1.90","1.73"
"21",22,"Lacazette","Alexandre","Arsenal","Forward",5,3,"2.50","1.67"
"22",45,"King","Joshua","Bournemouth","Forward",6,3.6,"1.20","1.67"
"23",270,"Sterling","Raheem","Man City","Midfielder",5.6,3.4,"1.40","1.65"
"24",247,"Robertson","Andrew","Liverpool","Defender",4.6,2.8,"2.30","1.64"
"25",526,"Zouma","Kurt","Everton","Defender",4.8,3,"1.60","1.60"
"26",116,"Luiz Moreira Marinho","David","Chelsea","Defender",5.4,3.4,"1.08","1.59"
"27",122,"Hazard","Eden","Chelsea","Midfielder",5.4,3.4,"1.08","1.59"
"28",142,"van Aanholt","Patrick","Crystal Palace","Defender",4.4,2.8,"1.47","1.57"
"29",257,"Firmino","Roberto","Liverpool","Forward",4.4,2.8,"2.20","1.57"
"30",406,"Rice","Declan","West Ham","Defender",4,2.6,"2.00","1.54"
"31",426,"Saïss","Romain","Wolves","Defender",4,2.6,"2.00","1.54"
"32",138,"Tomkins","James","Crystal Palace","Defender",4.2,2.8,"1.40","1.50"
"33",265,"Walker","Kyle","Man City","Defender",5,3.4,"1.25","1.47"
"34",351,"Lloris","Hugo","Spurs","Goalkeeper",4.4,3,"1.47","1.47"
"35",364,"Eriksen","Christian","Spurs","Midfielder",4.4,3,"1.47","1.47"
"36",317,"Ritchie","Matt","Newcastle","Midfielder",3.8,2.6,"1.27","1.46"
"37",493,"Rondón","Salomón","Newcastle","Forward",3.8,2.6,"1.27","1.46"
"38",400,"Fabianski","Lukasz","West Ham","Goalkeeper",3.8,2.6,"1.90","1.46"
"39",415,"Antonio","Michail","West Ham","Midfielder",3.8,2.6,"1.90","1.46"
"40",49,"Duffy","Shane","Brighton","Defender",3.2,2.2,"1.60","1.45"
"41",445,"Foster","Ben","Watford","Goalkeeper",5.2,3.6,"1.73","1.44"
"42",88,"Etheridge","Neil","Cardiff","Goalkeeper",4,2.8,"2.00","1.43"
"43",149,"Townsend","Andros","Crystal Palace","Midfielder",4,2.8,"1.33","1.43"
"44",592,"Batshuayi","Michy","Crystal Palace","Forward",4,2.8,"1.33","1.43"
"45",286,"Shaw","Luke","Man Utd","Defender",4,2.8,"2.00","1.43"
"46",154,"Pickford","Jordan","Everton","Goalkeeper",4.2,3,"1.40","1.40"
"47",85,"Barnes","Ashley","Burnley","Forward",4.4,3.2,"1.47","1.38"
"48",143,"Sakho","Mamadou","Crystal Palace","Defender",3.8,2.8,"1.27","1.36"
"49",275,"Sané","Leroy","Man City","Midfielder",4.6,3.4,"1.15","1.35"
"50",8,"Kolasinac","Sead","Arsenal","Defender",4,3,"2.00","1.33"
"51",368,"Winks","Harry","Spurs","Midfielder",4,3,"1.33","1.33"
"52",323,"Hayden","Isaac","Newcastle","Midfielder",3.4,2.6,"1.13","1.31"
"53",417,"Arnautovic","Marko","West Ham","Forward",3.4,2.6,"1.70","1.31"
"54",465,"Pereira Gomes","Felipe Anderson","West Ham","Midfielder",3.4,2.6,"1.70","1.31"
"55",433,"da Silva Neves","Rúben Diogo","Wolves","Midfielder",3.4,2.6,"1.70","1.31"
"56",110,"Reid","Bobby","Cardiff","Forward",3.6,2.8,"1.80","1.29"
"57",220,"Maguire","Harry","Leicester","Defender",3.6,2.8,"0.72","1.29"
"58",221,"Barbosa Pereira","Ricardo Domingos","Leicester","Defender",3.6,2.8,"0.72","1.29"
"59",234,"Vardy","Jamie","Leicester","Forward",3.6,2.8,"0.72","1.29"
"60",266,"da Silva","Danilo Luiz","Man City","Defender",4.4,3.4,"1.10","1.29"
"61",396,"Deeney","Troy","Watford","Forward",4.6,3.6,"1.53","1.28"
"62",56,"Stephens","Dale","Brighton","Midfielder",2.8,2.2,"1.40","1.27"
"63",357,"Trippier","Kieran","Spurs","Defender",3.8,3,"1.27","1.27"
"64",80,"Westwood","Ashley","Burnley","Midfielder",4,3.2,"1.33","1.25"
"65",87,"Wood","Chris","Burnley","Forward",4,3.2,"1.33","1.25"
"66",590,"Crouch","Peter","Burnley","Forward",4,3.2,"1.33","1.25"
"67",480,"Mitrovic","Aleksandar","Fulham","Forward",4,3.2,"1.00","1.25"
"68",343,"Redmond","Nathan","Southampton","Midfielder",4,3.2,"2.00","1.25"
"69",260,"Santana de Moraes","Ederson","Man City","Goalkeeper",4.2,3.4,"1.05","1.24"
"70",312,"Lascelles","Jamaal","Newcastle","Defender",3.2,2.6,"1.07","1.23"
"71",40,"Fraser","Ryan","Bournemouth","Midfielder",4.4,3.6,"0.88","1.22"
"72",42,"Brooks","David","Bournemouth","Midfielder",4.4,3.6,"0.88","1.22"
"73",376,"Cathcart","Craig","Watford","Defender",4.4,3.6,"1.47","1.22"
"74",378,"Holebas","José","Watford","Defender",4.4,3.6,"1.47","1.22"
"75",92,"Ecuele Manga","Bruno","Cardiff","Defender",3.4,2.8,"1.70","1.21"
"76",141,"Schlupp","Jeffrey","Crystal Palace","Defender",3.4,2.8,"1.13","1.21"
"77",285,"Jones","Phil","Man Utd","Defender",3.4,2.8,"1.70","1.21"
"78",293,"Young","Ashley","Man Utd","Defender",3.4,2.8,"1.70","1.21"
"79",2,"Leno","Bernd","Arsenal","Goalkeeper",3.6,3,"1.80","1.20"
"80",12,"Papastathopoulos","Sokratis","Arsenal","Defender",3.6,3,"1.80","1.20"
"81",172,"Sigurdsson","Gylfi","Everton","Midfielder",3.6,3,"1.20","1.20"
"82",371,"Llorente","Fernando","Spurs","Forward",3.6,3,"1.20","1.20"
"83",60,"Pröpper","Davy","Brighton","Midfielder",2.6,2.2,"1.30","1.18"
"84",503,"Montoya","Martín","Brighton","Defender",2.6,2.2,"1.30","1.18"
"85",281,"de Jesus","Gabriel Fernando","Man City","Forward",4,3.4,"1.00","1.18"
"86",31,"Aké","Nathan","Bournemouth","Defender",4.2,3.6,"0.84","1.17"
"87",454,"dos Santos Patrício","Rui Pedro","Wolves","Goalkeeper",3,2.6,"1.50","1.15"
"88",519,"Dendoncker","Leander","Wolves","Midfielder",3,2.6,"1.50","1.15"
"89",91,"Bamba","Sol","Cardiff","Defender",3.2,2.8,"1.60","1.14"
"90",137,"Guaita","Vicente","Crystal Palace","Goalkeeper",3.2,2.8,"1.07","1.14"
"91",145,"Wan-Bissaka","Aaron","Crystal Palace","Defender",3.2,2.8,"1.07","1.14"
"92",246,"van Dijk","Virgil","Liverpool","Defender",3.2,2.8,"1.60","1.14"
"93",353,"Alderweireld","Toby","Spurs","Defender",3.4,3,"1.13","1.13"
"94",78,"Hendrick","Jeff","Burnley","Midfielder",3.6,3.2,"1.20","1.12"
"95",309,"Dubravka","Martin","Newcastle","Goalkeeper",2.8,2.6,"0.93","1.08"
"96",326,"Pérez","Ayoze","Newcastle","Forward",2.8,2.6,"0.93","1.08"
"97",425,"Doherty","Matt","Wolves","Defender",2.8,2.6,"1.40","1.08"
"98",427,"Bennett","Ryan","Wolves","Defender",2.8,2.6,"1.40","1.08"
"99",94,"Bennett","Joe","Cardiff","Defender",3,2.8,"1.50","1.07"
"100",151,"Zaha","Wilfried","Crystal Palace","Forward",3,2.8,"1.00","1.07"
"101",162,"Keane","Michael","Everton","Defender",3.2,3,"1.07","1.07"
"102",508,"Tavares Gomes","André Filipe","Everton","Midfielder",3.2,3,"1.07","1.07"
"103",211,"Mounie","Steve","Huddersfield","Forward",3,2.8,"0.75","1.07"
"104",219,"Chilwell","Benjamin","Leicester","Defender",3,2.8,"0.60","1.07"
"105",227,"Ndidi","Wilfred","Leicester","Midfielder",3,2.8,"0.60","1.07"
"106",67,"Heaton","Tom","Burnley","Goalkeeper",3.4,3.2,"1.13","1.06"
"107",113,"Azpilicueta","César","Chelsea","Defender",3.6,3.4,"0.72","1.06"
"108",124,"Borges Da Silva","Willian","Chelsea","Midfielder",3.6,3.4,"0.72","1.06"
"109",126,"Kanté","N'Golo","Chelsea","Midfielder",3.6,3.4,"0.72","1.06"
"110",498,"Arrizabalaga","Kepa","Chelsea","Goalkeeper",3.6,3.4,"0.72","1.06"
"111",335,"Bednarek","Jan","Southampton","Defender",3.4,3.2,"1.70","1.06"
"112",25,"Boruc","Artur","Bournemouth","Goalkeeper",3.6,3.6,"0.72","1.00"
"113",115,"Alonso","Marcos","Chelsea","Defender",3.4,3.4,"0.68","1.00"
"114",505,"Ayew","Jordan","Crystal Palace","Forward",2.8,2.8,"0.93","1.00"
"115",157,"Coleman","Seamus","Everton","Defender",3,3,"1.00","1.00"
"116",393,"de Andrade","Richarlison","Everton","Midfielder",3,3,"1.00","1.00"
"117",271,"Silva","David","Man City","Midfielder",3.4,3.4,"0.85","1.00"
"118",354,"Rose","Danny","Spurs","Defender",3,3,"1.00","1.00"
"119",359,"Sánchez","Davinson","Spurs","Defender",3,3,"1.00","1.00"
"120",411,"Noble","Mark","West Ham","Midfielder",2.6,2.6,"1.30","1.00"
"121",534,"McNeil","Dwight","Burnley","Midfielder",3,3.2,"1.00","0.94"
