"","id","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score_cpt","t_score"
"1",270,"Sterling","Raheem","Man City","Midfielder",10.8,3,"3.60","3.60"
"2",465,"Pereira Gomes","Felipe Anderson","West Ham","Midfielder",7.4,2.2,"3.70","3.36"
"3",23,"Aubameyang","Pierre-Emerick","Arsenal","Forward",7.2,2.6,"1.80","2.77"
"4",275,"Sané","Leroy","Man City","Midfielder",7.8,3,"2.60","2.60"
"5",253,"Salah","Mohamed","Liverpool","Midfielder",7.2,2.8,"3.60","2.57"
"6",245,"Alexander-Arnold","Trent","Liverpool","Defender",7,2.8,"3.50","2.50"
"7",251,"Mané","Sadio","Liverpool","Midfielder",6.4,2.8,"3.20","2.29"
"8",419,"Hernández Balcázar","Javier","West Ham","Forward",4.6,2.2,"2.30","2.09"
"9",246,"van Dijk","Virgil","Liverpool","Defender",5.8,2.8,"2.90","2.07"
"10",43,"Wilson","Callum","Bournemouth","Forward",6,3,"3.00","2.00"
"11",301,"Martial","Anthony","Man Utd","Midfielder",6,3,"1.50","2.00"
"12",372,"Kane","Harry","Spurs","Forward",5.2,2.6,"2.60","2.00"
"13",247,"Robertson","Andrew","Liverpool","Defender",5.4,2.8,"2.70","1.93"
"14",468,"Ramses Becker","Alisson","Liverpool","Goalkeeper",5.4,2.8,"2.70","1.93"
"15",271,"Silva","David","Man City","Midfielder",5.8,3,"1.93","1.93"
"16",417,"Arnautovic","Marko","West Ham","Forward",4.2,2.2,"2.10","1.91"
"17",115,"Alonso","Marcos","Chelsea","Defender",6.4,3.4,"2.13","1.88"
"18",400,"Fabianski","Lukasz","West Ham","Goalkeeper",4,2.2,"2.00","1.82"
"19",172,"Sigurdsson","Gylfi","Everton","Midfielder",5.8,3.2,"2.90","1.81"
"20",437,"Jiménez","Raúl","Wolves","Forward",5.4,3,"1.35","1.80"
"21",149,"Townsend","Andros","Crystal Palace","Midfielder",5.6,3.2,"1.87","1.75"
"22",154,"Pickford","Jordan","Everton","Goalkeeper",5.6,3.2,"2.80","1.75"
"23",393,"de Andrade","Richarlison","Everton","Midfielder",5.6,3.2,"2.80","1.75"
"24",101,"Paterson","Callum","Cardiff","Midfielder",4.8,2.8,"1.60","1.71"
"25",345,"Armstrong","Stuart","Southampton","Midfielder",4.8,2.8,"1.20","1.71"
"26",48,"Dunk","Lewis","Brighton","Defender",5,3,"2.50","1.67"
"27",58,"March","Solomon","Brighton","Midfielder",5,3,"2.50","1.67"
"28",219,"Chilwell","Benjamin","Leicester","Defender",5.6,3.4,"2.80","1.65"
"29",464,"Balbuena","Fabián","West Ham","Defender",3.6,2.2,"1.80","1.64"
"30",549,"Foyth","Juan","Spurs","Defender",4.25,2.6,"2.12","1.63"
