"","id","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score_cpt","t_score"
"1",367,"Son","Heung-Min","Spurs","Midfielder",9.8,2.8,"3.27","3.50"
"2",489,"Snodgrass","Robert","West Ham","Midfielder",7.4,2.6,"3.70","2.85"
"3",372,"Kane","Harry","Spurs","Forward",7.8,2.8,"2.60","2.79"
"4",300,"Lingard","Jesse","Man Utd","Midfielder",7.2,2.6,"3.60","2.77"
"5",122,"Hazard","Eden","Chelsea","Midfielder",7,2.6,"2.33","2.69"
"6",253,"Salah","Mohamed","Liverpool","Midfielder",8.4,3.2,"4.20","2.62"
"7",246,"van Dijk","Virgil","Liverpool","Defender",8,3.2,"4.00","2.50"
"8",465,"Pereira Gomes","Felipe Anderson","West Ham","Midfielder",6.4,2.6,"3.20","2.46"
"9",305,"Rashford","Marcus","Man Utd","Forward",6.2,2.6,"3.10","2.38"
"10",419,"Hernández Balcázar","Javier","West Ham","Forward",6.2,2.6,"3.10","2.38"
"11",23,"Aubameyang","Pierre-Emerick","Arsenal","Forward",7.6,3.4,"2.53","2.24"
"12",299,"Herrera","Ander","Man Utd","Midfielder",5.8,2.6,"2.90","2.23"
"13",400,"Fabianski","Lukasz","West Ham","Goalkeeper",5.8,2.6,"2.90","2.23"
"14",150,"Milivojevic","Luka","Crystal Palace","Midfielder",7,3.4,"3.50","2.06"
"15",393,"de Andrade","Richarlison","Everton","Midfielder",5.2,2.6,"2.60","2.00"
"16",390,"Doucouré","Abdoulaye","Watford","Midfielder",5.2,2.6,"1.30","2.00"
"17",149,"Townsend","Andros","Crystal Palace","Midfielder",6.6,3.4,"3.30","1.94"
"18",116,"Luiz Moreira Marinho","David","Chelsea","Defender",5,2.6,"1.67","1.92"
"19",125,"Rodríguez Ledesma","Pedro","Chelsea","Midfielder",5,2.6,"1.67","1.92"
"20",391,"Pereyra","Roberto","Watford","Midfielder",5,2.6,"1.25","1.92"
"21",394,"Deulofeu","Gerard","Watford","Midfielder",5,2.6,"1.25","1.92"
"22",445,"Foster","Ben","Watford","Goalkeeper",4.8,2.6,"1.20","1.85"
"23",468,"Ramses Becker","Alisson","Liverpool","Goalkeeper",5.8,3.2,"2.90","1.81"
"24",233,"Maddison","James","Leicester","Midfielder",5.4,3,"1.08","1.80"
"25",275,"Sané","Leroy","Man City","Midfielder",5,2.8,"1.67","1.79"
"26",364,"Eriksen","Christian","Spurs","Midfielder",5,2.8,"1.67","1.79"
"27",462,"Shaqiri","Xherdan","Liverpool","Midfielder",5.4,3.2,"2.70","1.69"
"28",147,"McArthur","James","Crystal Palace","Midfielder",5.6,3.4,"2.80","1.65"
"29",281,"de Jesus","Gabriel Fernando","Man City","Forward",4.6,2.8,"1.53","1.64"
"30",126,"Kanté","N'Golo","Chelsea","Midfielder",4.2,2.6,"1.40","1.62"
"31",425,"Doherty","Matt","Wolves","Defender",5.2,3.2,"2.60","1.62"
"32",213,"Schmeichel","Kasper","Leicester","Goalkeeper",4.8,3,"0.96","1.60"
"33",247,"Robertson","Andrew","Liverpool","Defender",5,3.2,"2.50","1.56"
"34",437,"Jiménez","Raúl","Wolves","Forward",5,3.2,"2.50","1.56"
"35",99,"Hoilett","David Junior","Cardiff","Midfielder",4,2.6,"2.00","1.54"
"36",498,"Arrizabalaga","Kepa","Chelsea","Goalkeeper",4,2.6,"1.33","1.54"
"37",450,"Torreira","Lucas","Arsenal","Midfielder",5.2,3.4,"1.73","1.53"
"38",72,"Tarkowski","James","Burnley","Defender",3.6,2.4,"1.20","1.50"
"39",82,"Cork","Jack","Burnley","Midfielder",3.6,2.4,"1.20","1.50"
"40",274,"Gündogan","Ilkay","Man City","Midfielder",4.2,2.8,"1.40","1.50"
