"","id","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score_cpt","t_score"
"1",251,"Mané","Sadio","Liverpool","Midfielder",9.2,2.8,"2.30","3.29"
"2",270,"Sterling","Raheem","Man City","Midfielder",8.8,3,"4.40","2.93"
"3",246,"van Dijk","Virgil","Liverpool","Defender",7.6,2.8,"1.90","2.71"
"4",234,"Vardy","Jamie","Leicester","Forward",7,2.6,"3.50","2.69"
"5",493,"Rondón","Salomón","Newcastle","Forward",7,2.6,"1.75","2.69"
"6",18,"Mkhitaryan","Henrikh","Arsenal","Midfielder",6.8,2.6,"3.40","2.62"
"7",22,"Lacazette","Alexandre","Arsenal","Forward",6.6,2.6,"3.30","2.54"
"8",394,"Deulofeu","Gerard","Watford","Midfielder",8,3.4,"2.00","2.35"
"9",280,"Agüero","Sergio","Man City","Forward",7,3,"3.50","2.33"
"10",245,"Alexander-Arnold","Trent","Liverpool","Defender",6.2,2.8,"1.55","2.21"
"11",437,"Jiménez","Raúl","Wolves","Forward",6.2,2.8,"2.07","2.21"
"12",45,"King","Joshua","Bournemouth","Forward",4.8,2.2,"1.60","2.18"
"13",338,"Ward-Prowse","James","Southampton","Midfielder",6,2.8,"3.00","2.14"
"14",326,"Pérez","Ayoze","Newcastle","Forward",5.4,2.6,"1.35","2.08"
"15",154,"Pickford","Jordan","Everton","Goalkeeper",6.2,3,"2.07","2.07"
"16",247,"Robertson","Andrew","Liverpool","Defender",5.8,2.8,"1.45","2.07"
"17",40,"Fraser","Ryan","Bournemouth","Midfielder",4.4,2.2,"1.47","2.00"
"18",151,"Zaha","Wilfried","Crystal Palace","Forward",6.8,3.4,"3.40","2.00"
"19",591,"Tielemans","Youri","Leicester","Midfielder",5.2,2.6,"2.60","2.00"
"20",396,"Deeney","Troy","Watford","Forward",6.6,3.4,"1.65","1.94"
"21",172,"Sigurdsson","Gylfi","Everton","Midfielder",5.8,3,"1.93","1.93"
"22",468,"Ramses Becker","Alisson","Liverpool","Goalkeeper",5.4,2.8,"1.35","1.93"
"23",49,"Duffy","Shane","Brighton","Defender",5,2.6,"2.50","1.92"
"24",233,"Maddison","James","Leicester","Midfielder",5,2.6,"2.50","1.92"
"25",306,"Lukaku","Romelu","Man Utd","Forward",6,3.2,"2.00","1.88"
"26",2,"Leno","Bernd","Arsenal","Goalkeeper",4.8,2.6,"2.40","1.85"
"27",260,"Santana de Moraes","Ederson","Man City","Goalkeeper",5.4,3,"2.70","1.80"
"28",575,"Babel","Ryan","Fulham","Midfielder",4.8,2.8,"1.20","1.71"
"29",157,"Coleman","Seamus","Everton","Defender",5,3,"1.67","1.67"
"30",556,"Valery","Yan","Southampton","Defender",4.6,2.8,"2.30","1.64"
"31",3,"Koscielny","Laurent","Arsenal","Defender",4.2,2.6,"2.10","1.62"
"32",482,"Schär","Fabian","Newcastle","Defender",4.2,2.6,"1.05","1.62"
"33",484,"Digne","Lucas","Everton","Defender",4.8,3,"1.60","1.60"
"34",264,"Otamendi","Nicolás","Man City","Defender",4.8,3,"2.40","1.60"
"35",419,"Hernández Balcázar","Javier","West Ham","Forward",5.4,3.4,"2.70","1.59"
"36",243,"Matip","Joel","Liverpool","Defender",4.4,2.8,"1.10","1.57"
"37",423,"Boly","Willy","Wolves","Defender",4.4,2.8,"1.47","1.57"
"38",432,"Jota","Diogo","Wolves","Midfielder",4.4,2.8,"1.47","1.57"
"39",48,"Dunk","Lewis","Brighton","Defender",4,2.6,"2.00","1.54"
"40",271,"Silva","David","Man City","Midfielder",4.6,3,"2.30","1.53"
"41",302,"Pogba","Paul","Man Utd","Midfielder",4.8,3.2,"1.60","1.50"
"42",393,"de Andrade","Richarlison","Everton","Midfielder",4.4,3,"1.47","1.47"
"43",351,"Lloris","Hugo","Spurs","Goalkeeper",5,3.4,"1.00","1.47"
"44",8,"Kolasinac","Sead","Arsenal","Defender",3.8,2.6,"1.90","1.46"
"45",55,"Knockaert","Anthony","Brighton","Midfielder",3.8,2.6,"1.90","1.46"
"46",60,"Pröpper","Davy","Brighton","Midfielder",3.8,2.6,"1.90","1.46"
"47",257,"Firmino","Roberto","Liverpool","Forward",4,2.8,"1.00","1.43"
"48",452,"Gunn","Angus","Southampton","Goalkeeper",4,2.8,"2.00","1.43"
"49",150,"Milivojevic","Luka","Crystal Palace","Midfielder",4.8,3.4,"2.40","1.41"
